date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2014-07-01,10.6,1.0,3000.0,282.512223,282.512223,3000.0,2995.73,-4.27,-0.14
2014-08-01,10.56,1.0,3000.0,283.791494,566.303717,6000.0,5977.96,-22.04,-0.37
2014-09-01,11.12,1.0,3000.0,269.357936,835.661653,9000.0,9294.02,294.02,3.27
2014-10-01,10.44,1.0,3000.0,287.041015,1122.702668,12000.0,11717.19,-282.81,-2.36
2014-11-03,11.55,1.0,3000.0,259.2869,1381.989568,15000.0,15967.14,967.14,6.45
2014-12-01,11.77,1.0,3000.0,254.629056,1636.618624,18000.0,19254.95,1254.95,6.97
2015-01-05,11.72,1.0,3000.0,255.585613,1892.204237,21000.0,22178.62,1178.62,5.61
2015-02-02,12.0,1.0,3000.0,249.585069,2141.789305,24000.0,25707.57,1707.57,7.11
2015-03-02,12.33,1.0,3000.0,242.988887,2384.778192,27000.0,29401.16,2401.16,8.89
2015-04-01,12.09,1.0,3000.0,247.767273,2632.545466,30000.0,31829.86,1829.86,6.1
2015-05-04,12.61,1.0,3000.0,237.558913,2870.104378,33000.0,36193.38,3193.38,9.68
2015-06-01,12.42,1.0,3000.0,241.265518,3111.369896,36000.0,38633.07,2633.07,7.31
2015-07-01,12.34,1.0,3000.0,242.815372,3354.185268,39000.0,41382.21,2382.21,6.11
2015-08-03,11.49,1.0,3000.0,260.677716,3614.862984,42000.0,41542.32,-457.68,-1.09
2015-09-01,10.88,1.0,3000.0,275.452978,3890.315962,45000.0,42309.73,-2690.27,-5.98
2015-10-01,11.2,1.0,3000.0,267.440629,4157.756591,48000.0,46573.03,-1426.97,-2.97
2015-11-02,11.5,1.0,3000.0,260.553086,4418.309677,51000.0,50799.89,-200.11,-0.39
2015-12-01,11.33,1.0,3000.0,264.31105,4682.620727,54000.0,53073.35,-926.65,-1.72
2016-01-04,10.82,1.0,3000.0,276.960677,4959.581403,57000.0,53645.06,-3354.94,-5.89
2016-02-01,10.82,1.0,3000.0,276.960677,5236.54208,60000.0,56640.79,-3359.21,-5.6
2016-03-01,11.23,1.0,3000.0,266.661436,5503.203516,63000.0,61824.15,-1175.85,-1.87
2016-04-01,11.61,1.0,3000.0,258.10653,5761.310047,66000.0,66869.04,869.04,1.32
2016-05-03,11.03,1.0,3000.0,271.489814,6032.799861,69000.0,66568.41,-2431.59,-3.52
2016-06-01,11.57,1.0,3000.0,258.916892,6291.716753,72000.0,72796.68,796.68,1.11
2016-07-01,12.03,1.0,3000.0,248.951016,6540.667769,75000.0,78706.57,3706.57,4.94
2016-08-01,12.74,1.0,3000.0,235.091975,6775.759744,78000.0,86342.18,8342.18,10.7
2016-09-01,12.7,1.0,3000.0,235.943074,7011.702818,81000.0,89026.46,8026.46,9.91
2016-10-03,13.14,1.0,3000.0,228.017854,7239.720673,84000.0,95116.48,11116.48,13.23
2016-11-01,13.35,1.0,3000.0,224.405994,7464.126667,87000.0,99643.13,12643.13,14.53
2016-12-01,13.24,1.0,3000.0,226.276003,7690.40267,90000.0,101815.38,11815.38,13.13
2017-01-03,13.22,1.0,3000.0,226.590759,7916.993429,93000.0,104669.68,11669.68,12.55
2017-02-02,13.4,1.0,3000.0,223.482502,8140.475931,96000.0,109121.19,13121.19,13.67
2017-03-01,13.62,1.0,3000.0,219.958929,8360.434859,99000.0,113864.96,14864.96,15.02
2017-04-05,14.05,1.0,3000.0,213.181842,8573.616702,102000.0,120480.48,18480.48,18.12
2017-05-02,14.16,1.0,3000.0,211.622679,8785.239381,105000.0,124363.87,19363.87,18.44
2017-06-01,14.48,1.0,3000.0,206.944443,8992.183825,108000.0,130171.0,22171.0,20.53
2017-07-03,15.14,1.0,3000.0,197.812656,9189.99648,111000.0,139175.92,28175.92,25.38
2017-08-01,15.53,1.0,3000.0,192.88927,9382.88575,114000.0,145724.03,31724.03,27.83
2017-09-01,15.76,1.0,3000.0,190.100516,9572.986265,117000.0,150857.52,33857.52,28.94
2017-10-02,15.47,1.0,3000.0,193.599257,9766.585523,120000.0,151126.94,31126.94,25.94
2017-11-01,16.16,1.0,3000.0,185.409447,9951.994969,123000.0,160798.18,37798.18,30.73
2017-12-01,15.68,1.0,3000.0,191.021116,10143.016086,126000.0,159070.1,33070.1,26.25
2018-01-02,15.68,1.0,3000.0,191.021116,10334.037202,129000.0,162065.83,33065.83,25.63
2018-02-01,16.6,1.0,3000.0,180.429651,10514.466853,132000.0,174575.05,42575.05,32.25
2018-03-01,15.92,1.0,3000.0,188.154473,10702.621326,135000.0,170403.47,35403.47,26.22
2018-04-02,16.02,1.0,3000.0,187.010638,10889.631964,138000.0,174441.46,36441.46,26.41
2018-05-02,15.46,1.0,3000.0,193.72332,11083.355283,141000.0,171392.64,30392.64,21.56
2018-06-01,15.84,1.0,3000.0,189.079674,11272.434957,144000.0,178597.64,34597.64,24.03
2018-07-02,15.79,1.0,3000.0,189.779499,11462.214456,147000.0,180934.78,33934.78,23.08
2018-08-01,16.92,1.0,3000.0,177.068273,11639.282729,150000.0,196919.3,46919.3,31.28
2018-09-03,16.98,1.0,3000.0,176.4538,11815.736529,153000.0,200600.78,47600.78,31.11
2018-10-01,17.15,1.0,3000.0,174.635783,11990.372312,156000.0,205684.83,49684.83,31.85
2018-11-01,15.4,1.0,3000.0,194.571832,12184.944144,159000.0,187605.86,28605.86,17.99
2018-12-03,15.48,1.0,3000.0,193.584153,12378.528297,162000.0,191558.77,29558.77,18.25
2019-01-02,14.54,1.0,3000.0,206.00178,12584.530077,165000.0,183007.49,18007.49,10.91
2019-02-11,15.22,1.0,3000.0,196.883592,12781.413668,168000.0,194478.77,26478.77,15.76
2019-03-04,15.58,1.0,3000.0,192.27811,12973.691778,171000.0,202132.69,31132.69,18.21
2019-04-01,16.17,1.0,3000.0,185.294982,13158.98676,174000.0,212746.11,38746.11,22.27
2019-05-02,16.81,1.0,3000.0,178.26267,13337.24943,177000.0,224134.49,47134.49,26.63
2019-06-03,15.9,1.0,3000.0,188.361551,13525.610981,180000.0,215113.4,35113.4,19.51
2019-07-01,16.73,1.0,3000.0,179.017589,13704.62857,183000.0,229337.14,46337.14,25.32
2019-08-01,16.81,1.0,3000.0,178.257167,13882.885737,186000.0,233311.19,47311.19,25.44
2019-09-02,16.72,1.0,3000.0,179.127819,14062.013557,189000.0,235172.91,46172.91,24.43
2019-10-01,17.55,1.0,3000.0,170.687215,14232.700771,192000.0,249798.11,57798.11,30.1
2019-11-01,18.4,1.0,3000.0,162.8254,14395.526171,195000.0,264855.02,69855.02,35.82
2019-12-02,18.8,1.0,3000.0,159.376041,14554.902212,198000.0,273582.99,75582.99,38.17
2020-01-02,19.94,1.0,3000.0,150.236227,14705.138439,201000.0,293222.49,92222.49,45.88
2020-02-03,18.77,1.0,3000.0,159.560651,14864.699091,204000.0,279082.85,75082.85,36.81
2020-03-02,18.42,1.0,3000.0,162.666024,15027.365114,207000.0,276750.75,69750.75,33.7
2020-04-01,16.0,1.0,3000.0,187.205208,15214.570322,210000.0,243469.52,33469.52,15.94
2020-05-04,17.5,1.0,3000.0,171.191294,15385.761616,213000.0,269240.35,56240.35,26.4
2020-06-01,17.9,1.0,3000.0,167.360138,15553.121754,216000.0,278399.45,62399.45,28.89
2020-07-01,19.08,1.0,3000.0,157.004165,15710.125919,219000.0,299758.37,80758.37,36.88
2020-08-03,21.66,1.0,3000.0,138.297947,15848.423866,222000.0,343299.5,121299.5,54.64
2020-09-01,21.95,1.0,3000.0,136.491442,15984.915308,225000.0,350838.9,125838.9,55.93
2020-10-05,21.88,1.0,3000.0,136.888816,16121.804123,228000.0,352816.19,124816.19,54.74
2020-11-02,21.96,1.0,3000.0,136.425429,16258.229553,231000.0,357010.3,126010.3,54.55
2020-12-01,24.27,1.0,3000.0,123.415488,16381.645041,234000.0,397640.56,163640.56,69.93
2021-01-04,26.41,1.0,3000.0,113.441028,16495.086069,237000.0,435599.39,198599.39,83.8
2021-02-01,28.37,1.0,3000.0,105.587157,16600.673226,240000.0,470996.23,230996.23,96.25
2021-03-02,28.96,1.0,3000.0,103.45089,16704.124116,243000.0,483718.06,240718.06,99.06
2021-04-01,29.46,1.0,3000.0,101.698139,16805.822255,246000.0,495050.59,249050.59,101.24
2021-05-03,30.0,1.0,3000.0,99.85908,16905.681335,249000.0,507163.44,258163.44,103.68
2021-06-01,29.88,1.0,3000.0,100.25796,17005.939295,252000.0,508141.41,256141.41,101.64
2021-07-01,30.01,1.0,3000.0,99.822981,17105.762276,255000.0,513351.37,258351.37,101.31
2021-08-02,30.0,1.0,3000.0,99.857176,17205.619452,258000.0,516171.31,258171.31,100.07
2021-09-01,30.67,1.0,3000.0,97.66172,17303.281172,261000.0,530770.68,269770.68,103.36
2021-10-01,29.14,1.0,3000.0,102.801801,17406.082972,264000.0,507227.92,243227.92,92.13
2021-11-01,29.7,1.0,3000.0,100.881342,17506.964315,267000.0,519879.65,252879.65,94.71
2021-12-01,30.52,1.0,3000.0,98.148995,17605.11331,270000.0,537348.19,267348.19,99.02
2022-01-03,31.85,1.0,3000.0,94.059439,17699.172749,273000.0,563706.98,290706.98,106.49
2022-02-07,31.64,1.0,3000.0,94.692642,17793.865391,276000.0,562933.24,286933.24,103.96
2022-03-01,31.23,1.0,3000.0,95.939946,17889.805337,279000.0,558610.34,279610.34,100.22
2022-04-01,30.45,1.0,3000.0,98.391826,17988.197163,282000.0,547685.76,265685.76,94.21
2022-05-03,28.41,1.0,3000.0,105.43633,18093.633493,285000.0,514089.03,229089.03,80.38
2022-06-01,28.71,1.0,3000.0,104.33422,18197.967713,288000.0,522515.22,234515.22,81.43
2022-07-01,24.8,1.0,3000.0,120.795714,18318.763427,291000.0,454304.93,163304.93,56.12
2022-08-01,26.57,1.0,3000.0,112.747692,18431.511119,294000.0,489729.32,195729.32,66.57
2022-09-01,26.06,1.0,3000.0,114.970336,18546.481455,297000.0,483257.45,186257.45,62.71
2022-10-03,23.13,1.0,3000.0,129.538504,18676.019959,300000.0,431905.05,131905.05,43.97
2022-11-01,22.54,1.0,3000.0,132.920029,18808.939988,303000.0,423912.99,120912.99,39.91
2022-12-01,26.78,1.0,3000.0,111.861724,18920.801712,306000.0,506711.61,200711.61,65.59
2023-01-03,25.06,1.0,3000.0,119.538004,19040.339716,309000.0,477168.23,168168.23,54.42
2023-02-01,27.53,1.0,3000.0,108.801503,19149.141219,312000.0,527250.78,215250.78,68.99
2023-03-01,27.61,1.0,3000.0,108.482437,19257.623656,315000.0,531797.25,216797.25,68.82
2023-04-06,28.0,1.0,3000.0,107.00313,19364.626786,318000.0,542145.02,224145.02,70.49
2023-05-02,27.23,1.0,3000.0,110.003227,19474.630013,321000.0,530354.94,209354.94,65.22
2023-06-01,28.96,1.0,3000.0,103.45489,19578.084902,324000.0,566920.3,242920.3,74.98
2023-07-03,30.24,1.0,3000.0,99.061802,19677.146704,327000.0,595057.22,268057.22,81.97
2023-08-01,30.39,1.0,3000.0,98.578726,19775.72543,330000.0,600968.97,270968.97,82.11
2023-09-01,29.56,1.0,3000.0,101.358342,19877.083772,333000.0,587483.94,254483.94,76.42
2023-10-02,29.17,1.0,3000.0,102.704341,19979.788113,336000.0,582780.35,246780.35,73.45
2023-11-01,28.58,1.0,3000.0,104.81326,20084.601373,339000.0,574050.12,235050.12,69.34
2023-12-01,30.94,1.0,3000.0,96.821063,20181.422436,342000.0,624431.43,282431.43,82.58
2024-01-02,31.67,1.0,3000.0,94.596116,20276.018552,345000.0,642114.09,297114.09,86.12
2024-02-01,32.28,1.0,3000.0,92.818918,20368.83747,348000.0,657404.34,309404.34,88.91
2024-03-01,34.3,1.0,3000.0,87.326485,20456.163955,351000.0,701747.77,350747.77,99.93
2024-04-01,37.81,1.0,3000.0,79.226314,20535.390269,354000.0,776490.84,422490.84,119.35
2024-05-02,37.51,1.0,3000.0,79.860532,20615.2508,357000.0,773320.02,416320.02,116.62
2024-06-03,40.73,1.0,3000.0,73.548927,20688.799727,360000.0,842678.24,482678.24,134.08
2024-07-01,44.83,1.0,3000.0,66.828625,20755.628352,363000.0,930413.89,567413.89,156.31
2024-08-01,44.43,1.0,3000.0,67.428398,20823.05675,366000.0,925133.63,559133.63,152.77
2024-09-02,43.67,1.0,3000.0,68.602843,20891.659592,369000.0,912291.56,543291.56,147.23
2024-10-01,44.33,1.0,3000.0,67.575297,20959.234889,372000.0,929159.54,557159.54,149.77
2024-11-01,46.0,1.0,3000.0,65.127683,21024.362573,375000.0,967074.72,592074.72,157.89
2024-12-02,46.29,1.0,3000.0,64.72,21089.082572,378000.0,976162.25,598162.25,158.24
2025-01-02,46.85,1.0,3000.0,63.936225,21153.018798,381000.0,991124.44,610124.44,160.14
