date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2014-07-01,10.6,2.0,6000.0,565.024447,565.024447,6000.0,5991.46,-8.54,-0.14
2014-08-01,10.56,1.2698,3809.46,360.36435,925.388797,9809.46,9768.5,-40.97,-0.42
2014-09-01,11.12,1.1157,3347.16,300.527599,1225.916396,13156.62,13634.33,477.72,3.63
2014-10-01,10.44,1.1292,3387.67,324.133378,1550.049774,16544.29,16177.24,-367.04,-2.22
2014-11-03,11.55,0.5,1500.0,129.64345,1679.693224,18044.29,19406.72,1362.44,7.55
2014-12-01,11.77,0.5,1500.0,127.314528,1807.007752,19544.29,21259.59,1715.3,8.78
2015-01-05,11.72,0.6684,2005.28,170.840284,1977.848036,21549.57,23182.45,1632.88,7.58
2015-02-02,12.0,0.6025,1807.41,150.367309,2128.215345,23356.98,25544.64,2187.67,9.37
2015-03-02,12.33,0.5536,1660.89,134.525977,2262.741321,25017.87,27896.6,2878.74,11.51
2015-04-01,12.09,0.6329,1898.65,156.807502,2419.548823,26916.51,29254.54,2338.03,8.69
2015-05-04,12.61,0.5,1500.0,118.779456,2538.328279,28416.51,32009.53,3593.02,12.64
2015-06-01,12.42,0.7113,2133.87,171.6097,2709.937979,30550.38,33648.59,3098.21,10.14
2015-07-01,12.34,0.7823,2346.88,189.95288,2899.890859,32897.26,35777.36,2880.1,8.75
2015-08-03,11.49,1.0637,3191.09,277.282036,3177.172895,36088.35,36512.35,424.0,1.17
2015-09-01,10.88,1.3181,3954.21,363.066671,3540.239566,40042.57,38502.42,-1540.15,-3.85
2015-10-01,11.2,1.2849,3854.58,343.623946,3883.863511,43897.15,43505.02,-392.13,-0.89
2015-11-02,11.5,1.2038,3611.42,313.655237,4197.518749,47508.56,48261.33,752.76,1.58
2015-12-01,11.33,1.2715,3814.57,336.078089,4533.596838,51323.14,51384.3,61.16,0.12
2016-01-04,10.82,1.253,3759.05,347.036712,4880.63355,55082.19,52791.12,-2291.07,-4.16
2016-02-01,10.82,1.2265,3679.53,339.695118,5220.328668,58761.72,56465.42,-2296.3,-3.91
2016-03-01,11.23,0.9923,2976.96,264.613519,5484.942187,61738.69,61619.0,-119.68,-0.19
2016-04-01,11.61,0.8607,2582.14,222.155967,5707.098154,64320.83,66239.82,1919.0,2.98
2016-05-03,11.03,1.0574,3172.14,287.068159,5994.166313,67492.97,66142.11,-1350.86,-2.0
2016-06-01,11.57,0.9303,2790.76,240.858028,6235.024342,70283.73,72140.74,1857.01,2.64
2016-07-01,12.03,0.7819,2345.61,194.647016,6429.671358,72629.33,77370.91,4741.58,6.53
2016-08-01,12.74,0.5,1500.0,117.545987,6547.217346,74129.33,83429.91,9300.58,12.55
2016-09-01,12.7,0.5913,1774.03,139.523578,6686.740924,75903.37,84900.47,8997.1,11.85
2016-10-03,13.14,0.5895,1768.43,134.410891,6821.151815,77671.79,89617.27,11945.47,15.38
2016-11-01,13.35,0.5,1500.0,112.202997,6933.354812,79171.79,92557.54,13385.75,16.91
2016-12-01,13.24,0.6139,1841.62,138.905035,7072.259847,81013.42,93631.62,12618.2,15.58
2017-01-03,13.22,0.732,2196.06,165.868965,7238.128812,83209.48,95694.49,12485.02,15.0
2017-02-02,13.4,0.7598,2279.41,169.802938,7407.931751,85488.89,99301.61,13812.72,16.16
2017-03-01,13.62,0.7449,2234.79,163.854177,7571.785927,87723.68,103123.95,15400.27,17.56
2017-04-05,14.05,0.7986,2395.67,170.237687,7742.023615,90119.35,108794.54,18675.19,20.72
2017-05-02,14.16,0.8079,2423.81,170.977533,7913.001148,92543.16,112016.46,19473.3,21.04
2017-06-01,14.48,0.6813,2043.84,140.986934,8053.988082,94586.99,116589.66,22002.67,23.26
2017-07-03,15.14,0.5876,1762.85,116.237839,8170.225921,96349.84,123732.22,27382.38,28.42
2017-08-01,15.53,0.5448,1634.48,105.091383,8275.317304,97984.32,128522.57,30538.25,31.17
